household_id;iris_id;commune_id;departement_id;region_id;car_availability;bike_availability;number_of_vehicles;number_of_bikes;income;census_household_id
2684;170280102;17028;17;75.0;none;all;0;3;2190.0;529
2696;170280104;17028;17;75.0;all;none;1;0;2513.0;531
2731;170280102;17028;17;75.0;all;some;2;2;1096.2;537
2744;172740103;17274;17;75.0;all;all;1;2;1504.0;540
2747;172740103;17274;17;75.0;all;all;1;5;1949.0;540
2750;172740103;17274;17;75.0;all;none;1;0;1343.0;541
2764;170280103;17028;17;75.0;some;some;1;2;2364.0;544
2779;172740101;17274;17;75.0;some;none;1;0;3033.0;547
2785;170280104;17028;17;75.0;all;all;1;2;1686.0;548
2790;172740103;17274;17;75.0;all;all;2;2;4822.5;549
2793;170280104;17028;17;75.0;some;some;1;1;5712.0;550
2795;170280104;17028;17;75.0;all;none;1;0;2448.0;550
2813;170280101;17028;17;75.0;all;all;1;2;1995.0;554
2843;170280102;17028;17;75.0;all;all;1;3;3399.0;560
2865;170280104;17028;17;75.0;all;all;1;1;3254.0;565
2894;170280104;17028;17;75.0;none;all;0;2;1048.0;570
2934;170280103;17028;17;75.0;all;all;2;5;67.5;578
2936;170280103;17028;17;75.0;all;all;2;2;901.5;578
2989;170280103;17028;17;75.0;all;all;2;2;2683.0;588
2993;170280104;17028;17;75.0;some;some;1;1;955.5;589
3013;172740101;17274;17;75.0;all;some;2;1;4270.5;593
3035;170280103;17028;17;75.0;some;none;1;0;477.0;597
3036;172740101;17274;17;75.0;all;all;2;4;4980.0;598
3047;172740103;17274;17;75.0;some;some;2;2;3871.8;600
3088;172740101;17274;17;75.0;some;all;2;4;7145.0;608
3110;172740101;17274;17;75.0;all;none;1;0;2827.0;612
3117;170280103;17028;17;75.0;all;all;1;2;1002.0;614
3177;172740103;17274;17;75.0;none;all;0;2;1448.0;625
3184;170280103;17028;17;75.0;some;none;2;0;1587.6;626
3188;170280103;17028;17;75.0;all;all;1;1;2367.0;627
3201;172740101;17274;17;75.0;all;none;3;0;3466.5;630
3223;172740101;17274;17;75.0;all;none;1;0;2246.0;634
3250;172740103;17274;17;75.0;all;none;2;0;4480.5;640
3300;172740103;17274;17;75.0;all;some;2;1;3016.5;650
3338;172740101;17274;17;75.0;all;all;1;3;2301.0;657
3347;172740101;17274;17;75.0;all;all;2;4;5635.5;659
3351;172740101;17274;17;75.0;all;all;2;4;1297.5;659
3416;170280104;17028;17;75.0;all;some;2;1;2823.0;672
3424;172740102;17274;17;75.0;all;all;3;2;4422.0;674
3478;170280104;17028;17;75.0;all;none;1;0;3326.0;685
3498;170280102;17028;17;75.0;some;all;1;4;4633.2;689
3502;170280102;17028;17;75.0;some;none;1;0;1171.8;689
3511;172740102;17274;17;75.0;none;all;0;1;251.0;691
3550;170280103;17028;17;75.0;all;all;1;2;2428.0;699
3551;170280103;17028;17;75.0;all;all;1;2;986.0;699
3630;170280102;17028;17;75.0;some;all;1;2;3427.5;714
3637;170280103;17028;17;75.0;all;all;1;4;67.5;716
3641;172740101;17274;17;75.0;all;none;2;0;3877.5;717
3652;170280104;17028;17;75.0;some;all;1;2;1513.5;719
3674;170280101;17028;17;75.0;some;none;1;0;1018.5;723
3683;170280101;17028;17;75.0;all;all;2;2;1068.0;725
3694;172740103;17274;17;75.0;all;none;1;0;721.0;727
3698;172740102;17274;17;75.0;all;none;2;0;4021.5;728
3704;172740103;17274;17;75.0;some;some;1;1;5536.5;729
3708;170280104;17028;17;75.0;all;all;2;3;4798.5;730
3724;172740103;17274;17;75.0;all;none;2;0;2556.0;733
3778;170280104;17028;17;75.0;none;none;0;0;3732.0;743
3821;170280104;17028;17;75.0;some;all;1;4;1221.0;752
3827;170280101;17028;17;75.0;none;none;0;0;588.8;753
3829;172740101;17274;17;75.0;some;all;1;3;5256.0;754
3892;170280104;17028;17;75.0;all;all;1;4;1123.0;766
3902;170280104;17028;17;75.0;some;all;1;2;492.0;768
3941;170280104;17028;17;75.0;some;none;1;0;807.0;776
3949;172740102;17274;17;75.0;all;none;2;0;3043.5;777
3978;172740103;17274;17;75.0;all;none;2;0;6168.0;783
3983;172740103;17274;17;75.0;none;all;0;4;1449.0;784
3996;170280102;17028;17;75.0;some;all;2;4;709.2;786
4015;172740101;17274;17;75.0;all;some;1;1;1299.0;790
4061;172740103;17274;17;75.0;all;none;2;0;2635.5;799
4063;172740103;17274;17;75.0;all;none;2;0;3952.5;799
4069;170280104;17028;17;75.0;all;all;2;2;76.5;800
4117;170280101;17028;17;75.0;some;some;1;1;478.5;810
4121;170280101;17028;17;75.0;some;none;1;0;5907.0;810
4141;172740101;17274;17;75.0;all;all;2;2;2374.5;814
4157;170280103;17028;17;75.0;all;none;2;0;4651.5;817
4164;172740102;17274;17;75.0;all;all;1;4;1278.0;819
4185;170280103;17028;17;75.0;all;none;2;0;2071.0;823
4206;172740103;17274;17;75.0;all;all;1;2;1433.0;827
4208;172740102;17274;17;75.0;some;none;1;0;3036.6;828
4232;172740103;17274;17;75.0;some;some;2;1;5494.7;832
4291;172740101;17274;17;75.0;some;none;3;0;12.0;844
4298;170280101;17028;17;75.0;some;some;1;1;5374.5;845
4302;170280103;17028;17;75.0;some;some;1;1;2709.0;846
4330;170280103;17028;17;75.0;all;some;2;1;4833.0;851
4351;170280104;17028;17;75.0;some;all;1;2;3073.5;855
4360;172740103;17274;17;75.0;all;all;2;2;5506.5;857
4361;172740103;17274;17;75.0;all;none;2;0;4591.5;857
4383;172740103;17274;17;75.0;some;all;2;4;3350.0;862
4391;170280104;17028;17;75.0;some;none;1;0;994.5;863
4392;170280103;17028;17;75.0;all;all;1;3;1769.0;864
4400;172740101;17274;17;75.0;all;all;2;1;1396.0;865
4439;170280104;17028;17;75.0;none;all;0;2;1336.0;872
4443;170280103;17028;17;75.0;some;some;1;1;3171.6;873
4457;170280104;17028;17;75.0;some;all;1;2;4630.5;876
4471;170280104;17028;17;75.0;none;all;0;2;1768.0;879
4502;172740103;17274;17;75.0;all;all;1;1;1674.0;885
4510;170280104;17028;17;75.0;all;all;1;2;1552.0;887
4572;170280103;17028;17;75.0;all;none;1;0;1312.0;899
4578;170280104;17028;17;75.0;some;some;1;2;5046.400000000001;900
4596;170280104;17028;17;75.0;some;some;2;2;7441.2;904
4600;170280104;17028;17;75.0;some;none;2;0;1867.5;905
4605;170280103;17028;17;75.0;none;all;0;2;306.0;906
4609;170280103;17028;17;75.0;none;some;0;1;241.5;906
4615;170280104;17028;17;75.0;all;all;1;2;1052.0;908
4618;170280104;17028;17;75.0;all;none;1;0;2615.0;908
4622;170280104;17028;17;75.0;all;some;2;1;987.0;909
4638;170280103;17028;17;75.0;none;all;0;2;1428.0;912
4643;172740103;17274;17;75.0;some;none;2;0;3538.8;913
4648;170280103;17028;17;75.0;all;none;1;0;387.0;914
4668;172740102;17274;17;75.0;some;all;1;3;6741.0;918
4672;170280103;17028;17;75.0;none;all;0;2;1246.0;919
4679;172740103;17274;17;75.0;all;none;1;0;1535.0;920
4696;170280104;17028;17;75.0;some;none;1;0;949.5;924
4710;170280104;17028;17;75.0;all;none;1;0;1844.0;927
4716;170280104;17028;17;75.0;all;none;2;0;34.5;928
4723;170280102;17028;17;75.0;some;none;2;0;1155.0;929
4758;170280104;17028;17;75.0;all;all;1;2;2370.0;936
4778;172740103;17274;17;75.0;some;none;2;0;4652.0;940
4781;172740103;17274;17;75.0;some;none;2;0;4716.0;940
4784;172740101;17274;17;75.0;all;none;2;0;3529.5;941
4797;172740103;17274;17;75.0;some;all;2;4;8390.0;943
4799;172740103;17274;17;75.0;some;all;1;4;5625.0;944
4822;172740103;17274;17;75.0;all;all;3;2;5749.5;948
4841;170280103;17028;17;75.0;some;some;2;2;934.5;952
4848;172740101;17274;17;75.0;all;all;1;3;1451.0;953
4861;172740103;17274;17;75.0;all;none;2;0;3489.0;956
4872;172740103;17274;17;75.0;all;all;1;2;1993.0;958
4912;170280104;17028;17;75.0;some;none;1;0;2994.0;966
4916;170280104;17028;17;75.0;some;none;1;0;4500.0;966
4920;172740101;17274;17;75.0;all;all;1;4;1910.0;967
4959;172740102;17274;17;75.0;all;some;2;1;3904.2;975
4976;170280104;17028;17;75.0;all;all;1;1;3048.0;978
4977;170280104;17028;17;75.0;all;all;1;2;1612.0;978
4981;170280103;17028;17;75.0;some;some;1;1;743.4;979
4983;170280103;17028;17;75.0;some;some;1;1;703.5;979
5000;170280103;17028;17;75.0;none;all;0;4;2101.0;983
5002;170280103;17028;17;75.0;none;none;0;0;1980.0;983
5026;172740101;17274;17;75.0;none;all;0;3;4011.0;987
5027;172740102;17274;17;75.0;none;all;0;2;1794.0;988
5053;172740102;17274;17;75.0;some;some;1;1;2890.5;992
5078;170280103;17028;17;75.0;all;none;2;0;490.5;997
5079;170280103;17028;17;75.0;all;all;2;2;948.0;998
5083;170280103;17028;17;75.0;all;all;2;2;1063.5;998
5084;170280103;17028;17;75.0;some;some;1;2;9116.8;999
5110;170280103;17028;17;75.0;all;all;1;2;2253.0;1004
5139;170280102;17028;17;75.0;all;none;1;0;1594.0;1009
5151;172740102;17274;17;75.0;some;none;2;0;11772.0;1012
5164;172740102;17274;17;75.0;all;none;1;0;4443.0;1014
5184;172740103;17274;17;75.0;all;all;2;2;2571.0;1018
5185;172740103;17274;17;75.0;all;some;2;1;7198.5;1018
5197;170280102;17028;17;75.0;all;none;1;0;2507.0;1020
5234;172740101;17274;17;75.0;some;some;1;1;564.0;1028
5239;172740103;17274;17;75.0;some;none;1;0;4240.0;1029
5249;172740101;17274;17;75.0;all;all;2;5;3187.5;1031
5255;170280104;17028;17;75.0;all;all;1;2;2710.5;1032
5258;172740101;17274;17;75.0;all;all;1;2;2213.0;1033
5262;170280103;17028;17;75.0;all;all;1;2;2366.0;1034
5297;170280104;17028;17;75.0;none;some;0;2;244.0;1040
5312;170280104;17028;17;75.0;all;all;1;2;840.0;1043
5315;170280103;17028;17;75.0;all;all;2;2;15.0;1044
5325;170280104;17028;17;75.0;some;some;2;1;1391.5;1046
5333;170280104;17028;17;75.0;all;all;1;3;1865.0;1047
5351;172740101;17274;17;75.0;all;all;1;1;4596.0;1051
5353;172740101;17274;17;75.0;all;all;1;1;1362.0;1051
5356;172740103;17274;17;75.0;some;none;2;0;11462.5;1052
5368;172740101;17274;17;75.0;some;none;1;0;4936.0;1054
5396;172740103;17274;17;75.0;none;all;0;1;2083.0;1060
5397;172740103;17274;17;75.0;none;all;0;2;2152.0;1060
5412;172740103;17274;17;75.0;all;all;2;2;2493.0;1063
5416;172740103;17274;17;75.0;some;all;1;2;3374.8;1064
5421;170280103;17028;17;75.0;all;all;1;2;142.0;1065
5423;170280103;17028;17;75.0;all;all;1;2;617.0;1065
5434;172740102;17274;17;75.0;some;none;1;0;3259.2000000000003;1067
5453;170280104;17028;17;75.0;all;all;2;2;1234.5;1071
5464;172740101;17274;17;75.0;all;none;1;0;1729.0;1073
5467;172740102;17274;17;75.0;all;none;1;0;2105.0;1074
5468;172740102;17274;17;75.0;all;none;1;0;2887.0;1074
5490;170280104;17028;17;75.0;all;all;1;2;674.0;1078
5493;172740101;17274;17;75.0;some;some;2;1;4532.2;1079
5497;172740101;17274;17;75.0;some;none;2;0;4888.7;1079
5510;170280104;17028;17;75.0;some;none;1;0;3381.0;1082
5514;170280104;17028;17;75.0;some;none;1;0;2917.5;1082
5516;170280103;17028;17;75.0;all;all;1;2;2129.0;1083
5522;172740101;17274;17;75.0;all;all;1;2;1314.0;1084
5525;170280103;17028;17;75.0;all;none;2;0;970.5;1085
5546;170280101;17028;17;75.0;none;all;0;4;2241.0;1089
5570;170280103;17028;17;75.0;all;all;1;2;1380.0;1094
5617;170280104;17028;17;75.0;all;all;1;1;2699.0;1103
5649;170280104;17028;17;75.0;all;all;2;2;3793.5;1109
5665;170280101;17028;17;75.0;all;none;2;0;2835.0;1112
5666;170280101;17028;17;75.0;all;none;2;0;418.5;1112
5667;170280103;17028;17;75.0;some;none;1;0;1017.0;1113
5673;170280103;17028;17;75.0;all;all;1;4;2736.0;1114
5685;172740102;17274;17;75.0;all;some;2;1;3246.0;1116
5695;172740102;17274;17;75.0;all;all;1;3;3906.0;1118
5696;172740102;17274;17;75.0;all;none;1;0;3228.0;1118
5716;172740101;17274;17;75.0;all;all;1;3;1293.0;1122
5732;172740102;17274;17;75.0;some;some;2;2;3628.0;1125
5749;170280103;17028;17;75.0;all;all;1;2;4617.0;1129
5784;172740103;17274;17;75.0;all;none;1;0;1885.0;1136
5786;172740103;17274;17;75.0;all;all;1;1;4265.0;1136
5798;172740103;17274;17;75.0;all;none;1;0;1911.0;1138
5801;172740102;17274;17;75.0;all;some;3;1;3574.2000000000003;1139
5826;170280101;17028;17;75.0;some;some;3;2;1690.0;1144
5833;170280103;17028;17;75.0;some;none;1;0;2135.9;1145
5853;170280102;17028;17;75.0;all;some;2;1;2161.5;1149
5855;172740101;17274;17;75.0;some;some;1;1;4855.5;1150
5857;172740101;17274;17;75.0;some;all;1;2;3742.5;1150
5865;172740102;17274;17;75.0;none;all;0;4;1902.0;1152
5891;172740101;17274;17;75.0;all;all;3;2;2068.0;1157
5897;170280103;17028;17;75.0;some;all;1;2;2044.5;1158
5915;172740103;17274;17;75.0;some;none;1;0;4704.0;1162
5932;170280103;17028;17;75.0;all;some;1;1;2842.5;1165
5969;172740102;17274;17;75.0;all;all;1;6;3780.0;1172
5970;172740101;17274;17;75.0;some;some;1;2;4554.900000000001;1173
5971;172740101;17274;17;75.0;some;some;1;2;802.2;1173
5973;172740101;17274;17;75.0;some;some;1;3;7051.8;1173
5974;172740101;17274;17;75.0;some;some;1;1;9708.3;1173
5981;172740101;17274;17;75.0;all;all;1;2;4044.0;1175
6005;170280103;17028;17;75.0;some;all;1;2;1410.0;1179
6010;170280103;17028;17;75.0;all;all;1;2;1579.0;1180
6038;172740103;17274;17;75.0;some;some;1;1;4518.0;1185
6047;170280104;17028;17;75.0;some;some;1;2;117.3;1187
6049;172740103;17274;17;75.0;some;all;1;4;3284.8;1188
6051;172740103;17274;17;75.0;some;none;1;0;2334.4;1188
6064;170280102;17028;17;75.0;some;some;1;2;3015.3;1190
6066;172740103;17274;17;75.0;all;none;1;0;210.0;1191
6073;172740101;17274;17;75.0;none;all;0;6;1157.0;1192
6082;172740103;17274;17;75.0;some;some;2;2;5626.0;1194
6126;172740103;17274;17;75.0;all;all;1;2;1611.0;1203
6165;170280103;17028;17;75.0;all;all;1;2;2638.0;1210
6190;170280104;17028;17;75.0;some;all;1;5;2037.0;1216
6194;170280104;17028;17;75.0;some;none;1;0;97.5;1216
6202;172740101;17274;17;75.0;all;none;1;0;2459.0;1218
6204;172740101;17274;17;75.0;all;none;1;0;1415.0;1218
6219;170280103;17028;17;75.0;all;all;1;2;1216.0;1221
6274;172740103;17274;17;75.0;all;all;1;2;912.0;1232
6296;170280104;17028;17;75.0;all;none;2;0;2998.5;1236
6301;172740102;17274;17;75.0;all;none;2;0;4714.5;1237
6347;170280104;17028;17;75.0;all;none;1;0;3322.0;1246
6402;170280103;17028;17;75.0;none;none;0;0;1664.0;1257
6472;170280103;17028;17;75.0;some;all;1;2;1765.4;1271
6497;172740101;17274;17;75.0;all;all;1;1;1903.0;1276
6530;172740101;17274;17;75.0;all;all;2;3;2914.5;1282
6534;170280104;17028;17;75.0;some;none;1;0;233.1;1283
6546;170280102;17028;17;75.0;all;all;2;2;2472.0;1285
6565;170280104;17028;17;75.0;some;none;1;0;1520.0;1289
6582;170280103;17028;17;75.0;none;all;0;1;185.0;1293
6588;172740103;17274;17;75.0;all;all;1;2;4241.0;1294
6589;172740103;17274;17;75.0;all;all;1;4;1388.0;1294
6628;170280103;17028;17;75.0;all;all;1;2;816.0;1302
6667;170280102;17028;17;75.0;all;all;2;2;526.5;1310
6674;170280103;17028;17;75.0;none;all;0;4;2013.0;1311
6679;172740101;17274;17;75.0;some;all;1;2;4596.0;1312
6718;172740101;17274;17;75.0;none;some;0;1;3724.2;1320
6813;172740102;17274;17;75.0;some;none;1;0;4249.5;1338
6820;172740103;17274;17;75.0;all;all;1;2;2383.0;1340
6910;172740103;17274;17;75.0;all;some;2;1;3888.0;1358
6914;172740103;17274;17;75.0;all;none;2;0;379.5;1358
6923;172740102;17274;17;75.0;some;all;1;2;1482.0;1360
6934;170280103;17028;17;75.0;all;all;2;2;612.0;1362
6965;170280104;17028;17;75.0;all;none;1;0;2203.0;1368
6982;172740103;17274;17;75.0;some;none;2;0;3614.4;1372
7038;170280102;17028;17;75.0;all;all;2;2;214.5;1382
7041;170280103;17028;17;75.0;all;all;1;2;1256.0;1383
7043;170280103;17028;17;75.0;all;all;1;1;2992.0;1383
7113;172740101;17274;17;75.0;all;all;2;2;1143.0;1397
7129;172740103;17274;17;75.0;some;all;1;2;4029.0;1400
7156;170280103;17028;17;75.0;all;all;2;2;2095.5;1405
7157;170280103;17028;17;75.0;all;none;2;0;2253.0;1405
7188;172740102;17274;17;75.0;all;some;2;1;4777.5;1412
7204;172740103;17274;17;75.0;all;all;1;5;5677.5;1415
7261;172740103;17274;17;75.0;all;some;3;1;4305.0;1426
7271;170280104;17028;17;75.0;all;all;1;2;2924.0;1428
7295;170280102;17028;17;75.0;all;none;1;0;1905.0;1433
7310;170280103;17028;17;75.0;some;none;2;0;1104.0;1436
7313;170280103;17028;17;75.0;some;all;2;4;372.0;1436
7332;172740101;17274;17;75.0;some;some;3;1;765.0;1440
7342;170280103;17028;17;75.0;all;some;2;1;3228.0;1442
7351;172740103;17274;17;75.0;none;none;0;0;2340.0;1444
7378;172740102;17274;17;75.0;all;all;2;2;3916.5;1449
7382;170280104;17028;17;75.0;some;all;1;2;3003.0;1450
7403;172740101;17274;17;75.0;all;none;1;0;3496.5;1454
7426;172740101;17274;17;75.0;none;all;0;1;1370.0;1458
7430;170280104;17028;17;75.0;some;none;2;0;1120.0;1459
7477;172740103;17274;17;75.0;all;all;2;3;9066.0;1468
7491;170280101;17028;17;75.0;some;all;1;2;481.0;1471
7493;170280101;17028;17;75.0;some;all;1;2;702.0;1471
7501;172740103;17274;17;75.0;all;none;1;0;2300.0;1473
7502;172740103;17274;17;75.0;all;none;1;0;1942.0;1473
