person_id,emissionClass,vTypeId
10372,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
10374,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
10375,HBEFA4/PC_diesel_Euro-4,vt_hbefa4_PC_diesel_Euro_4
10376,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
10378,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
104,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
10436,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
10466,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
10481,HBEFA4/PC_diesel_Euro-4,vt_hbefa4_PC_diesel_Euro_4
10544,HBEFA4/PC_petrol_Euro-4,vt_hbefa4_PC_petrol_Euro_4
10545,HBEFA4/PC_petrol_Euro-3,vt_hbefa4_PC_petrol_Euro_3
10555,HBEFA4/PC_diesel_Euro-4,vt_hbefa4_PC_diesel_Euro_4
10556,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
10557,HBEFA4/PC_petrol_Euro-4,vt_hbefa4_PC_petrol_Euro_4
10585,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
10597,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
106,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
10602,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
10606,HBEFA4/PC_petrol_Euro-3,vt_hbefa4_PC_petrol_Euro_3
107,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
10707,HBEFA4/PC_diesel_Euro-1,vt_hbefa4_PC_diesel_Euro_1
10712,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
10713,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
10728,HBEFA4/PC_diesel_Euro-3,vt_hbefa4_PC_diesel_Euro_3
10729,HBEFA4/PC_diesel_Euro-4,vt_hbefa4_PC_diesel_Euro_4
10730,HBEFA4/PC_petrol_Euro-3,vt_hbefa4_PC_petrol_Euro_3
10731,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
10748,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
10796,HBEFA4/PC_diesel_Euro-4,vt_hbefa4_PC_diesel_Euro_4
10798,HBEFA4/PC_diesel_Euro-4,vt_hbefa4_PC_diesel_Euro_4
10804,HBEFA4/PC_petrol_Euro-3,vt_hbefa4_PC_petrol_Euro_3
10805,HBEFA4/PC_petrol_Euro-4,vt_hbefa4_PC_petrol_Euro_4
10806,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
10807,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
10834,HBEFA4/PC_petrol_Euro-4,vt_hbefa4_PC_petrol_Euro_4
10835,HBEFA4/PC_diesel_Euro-4,vt_hbefa4_PC_diesel_Euro_4
10836,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
1089,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
10909,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
10910,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
10917,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
10927,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
10929,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
10949,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
10950,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
10951,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
10952,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
10985,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
10986,HBEFA4/PC_diesel_Euro-3,vt_hbefa4_PC_diesel_Euro_3
11009,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
11077,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
11078,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
11081,HBEFA4/PC_diesel_Euro-3,vt_hbefa4_PC_diesel_Euro_3
11100,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
11101,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
11102,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
11104,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
11105,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
11123,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
11124,HBEFA4/PC_diesel_Euro-4,vt_hbefa4_PC_diesel_Euro_4
11132,HBEFA4/PC_LPG_petrol_Euro-6_(LPG),vt_hbefa4_PC_LPG_petrol_Euro_6_LPG
11134,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
1114,HBEFA4/PC_petrol_Euro-3,vt_hbefa4_PC_petrol_Euro_3
11143,HBEFA4/PC_diesel_Euro-4,vt_hbefa4_PC_diesel_Euro_4
11144,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
1115,HBEFA4/PC_diesel_Euro-4,vt_hbefa4_PC_diesel_Euro_4
1120,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
1121,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
11321,HBEFA4/PC_petrol_Euro-4,vt_hbefa4_PC_petrol_Euro_4
11376,HBEFA4/PC_petrol_Euro-3,vt_hbefa4_PC_petrol_Euro_3
11377,HBEFA4/PC_diesel_Euro-4,vt_hbefa4_PC_diesel_Euro_4
11413,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
11414,HBEFA4/PC_diesel_Euro-3,vt_hbefa4_PC_diesel_Euro_3
11415,HBEFA4/PC_diesel_Euro-3,vt_hbefa4_PC_diesel_Euro_3
11416,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
11417,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
11428,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
11443,HBEFA4/PC_diesel_Euro-4,vt_hbefa4_PC_diesel_Euro_4
11444,HBEFA4/PC_diesel_Euro-3,vt_hbefa4_PC_diesel_Euro_3
11458,HBEFA4/PC_diesel_Euro-4,vt_hbefa4_PC_diesel_Euro_4
11459,HBEFA4/PC_diesel_Euro-4,vt_hbefa4_PC_diesel_Euro_4
11460,HBEFA4/PC_diesel_Euro-3,vt_hbefa4_PC_diesel_Euro_3
11461,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
11496,HBEFA4/PC_diesel_Euro-3,vt_hbefa4_PC_diesel_Euro_3
11525,HBEFA4/PC_diesel_Euro-4,vt_hbefa4_PC_diesel_Euro_4
11526,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
11556,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
1160,HBEFA4/PC_petrol_Euro-4,vt_hbefa4_PC_petrol_Euro_4
1163,HBEFA4/PC_diesel_Euro-3,vt_hbefa4_PC_diesel_Euro_3
11639,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
11641,HBEFA4/PC_diesel_Euro-4,vt_hbefa4_PC_diesel_Euro_4
11658,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
11667,HBEFA4/PC_diesel_Euro-1,vt_hbefa4_PC_diesel_Euro_1
11668,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
11742,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
11743,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
11744,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
11762,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
11763,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
11807,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
11808,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
11811,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
11812,HBEFA4/PC_diesel_Euro-4,vt_hbefa4_PC_diesel_Euro_4
11815,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
11816,HBEFA4/PC_diesel_Euro-4,vt_hbefa4_PC_diesel_Euro_4
11909,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
11918,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
11919,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
11979,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
12008,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
12061,HBEFA4/PC_petrol_Euro-4,vt_hbefa4_PC_petrol_Euro_4
12064,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
12066,HBEFA4/PC_petrol_Euro-3,vt_hbefa4_PC_petrol_Euro_3
12068,HBEFA4/PC_petrol_Euro-4,vt_hbefa4_PC_petrol_Euro_4
12074,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
12075,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
12076,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
12078,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
12079,HBEFA4/PC_diesel_Euro-4,vt_hbefa4_PC_diesel_Euro_4
12094,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
12095,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
12147,HBEFA4/PC_petrol_Euro-4,vt_hbefa4_PC_petrol_Euro_4
12154,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
121635,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
121643,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
121644,HBEFA4/PC_petrol_Euro-4,vt_hbefa4_PC_petrol_Euro_4
121690,HBEFA4/PC_petrol_Euro-3,vt_hbefa4_PC_petrol_Euro_3
121691,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
121716,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
121722,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
121730,HBEFA4/PC_petrol_Euro-3,vt_hbefa4_PC_petrol_Euro_3
121735,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
121736,HBEFA4/PC_diesel_Euro-4,vt_hbefa4_PC_diesel_Euro_4
121737,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
121753,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
121754,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
121792,HBEFA4/PC_diesel_Euro-4,vt_hbefa4_PC_diesel_Euro_4
121795,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
121911,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
121912,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
12196,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
12197,HBEFA4/PC_diesel_Euro-3,vt_hbefa4_PC_diesel_Euro_3
121970,HBEFA4/PC_petrol_Euro-3,vt_hbefa4_PC_petrol_Euro_3
121971,HBEFA4/PC_diesel_Euro-4,vt_hbefa4_PC_diesel_Euro_4
121994,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
121995,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
121998,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
122017,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
122019,HBEFA4/PC_petrol_Euro-1,vt_hbefa4_PC_petrol_Euro_1
122021,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
122022,HBEFA4/PC_petrol_Euro-3,vt_hbefa4_PC_petrol_Euro_3
122023,HBEFA4/PC_diesel_Euro-4,vt_hbefa4_PC_diesel_Euro_4
122024,HBEFA4/PC_diesel_Euro-4,vt_hbefa4_PC_diesel_Euro_4
122043,HBEFA4/PC_diesel_Euro-4,vt_hbefa4_PC_diesel_Euro_4
122068,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
122111,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
122112,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
122129,HBEFA4/PC_petrol_Euro-4,vt_hbefa4_PC_petrol_Euro_4
122131,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
122144,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
122145,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
122165,HBEFA4/PC_petrol_Euro-4,vt_hbefa4_PC_petrol_Euro_4
122169,HBEFA4/PC_diesel_Euro-3,vt_hbefa4_PC_diesel_Euro_3
122170,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
122179,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
122182,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
122192,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
122194,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
122195,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
12220,HBEFA4/PC_diesel_Euro-3,vt_hbefa4_PC_diesel_Euro_3
122201,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
122202,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
122203,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
12221,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
12222,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
122233,HBEFA4/PC_diesel_Euro-4,vt_hbefa4_PC_diesel_Euro_4
122234,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
122250,HBEFA4/PC_diesel_Euro-3,vt_hbefa4_PC_diesel_Euro_3
122261,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
12228,HBEFA4/PC_BEV,vt_hbefa4_PC_BEV
12229,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
12230,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
122312,HBEFA4/PC_diesel_Euro-4,vt_hbefa4_PC_diesel_Euro_4
122313,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
122328,HBEFA4/PC_diesel_Euro-4,vt_hbefa4_PC_diesel_Euro_4
122329,HBEFA4/PC_petrol_Euro-4,vt_hbefa4_PC_petrol_Euro_4
122330,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
122331,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
12234,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
122348,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
122349,HBEFA4/PC_petrol_Euro-4,vt_hbefa4_PC_petrol_Euro_4
12235,HBEFA4/PC_diesel_Euro-3,vt_hbefa4_PC_diesel_Euro_3
122350,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
122351,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
122352,HBEFA4/PC_diesel_Euro-3,vt_hbefa4_PC_diesel_Euro_3
122353,HBEFA4/PC_diesel_Euro-3,vt_hbefa4_PC_diesel_Euro_3
12236,HBEFA4/PC_diesel_Euro-4,vt_hbefa4_PC_diesel_Euro_4
122374,HBEFA4/PC_diesel_Euro-2,vt_hbefa4_PC_diesel_Euro_2
122386,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
122387,HBEFA4/PC_diesel_Euro-2,vt_hbefa4_PC_diesel_Euro_2
122388,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
122389,HBEFA4/PC_diesel_Euro-4,vt_hbefa4_PC_diesel_Euro_4
122413,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
122414,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
122421,HBEFA4/PC_diesel_Euro-4,vt_hbefa4_PC_diesel_Euro_4
122422,HBEFA4/PC_diesel_Euro-4,vt_hbefa4_PC_diesel_Euro_4
122430,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
122455,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
122476,HBEFA4/PC_diesel_Euro-4,vt_hbefa4_PC_diesel_Euro_4
122486,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
122487,HBEFA4/PC_diesel_Euro-4,vt_hbefa4_PC_diesel_Euro_4
122488,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
122489,HBEFA4/PC_diesel_Euro-4,vt_hbefa4_PC_diesel_Euro_4
122553,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
122554,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
122555,HBEFA4/PC_diesel_Euro-4,vt_hbefa4_PC_diesel_Euro_4
122556,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
122590,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
122591,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
122604,HBEFA4/PC_diesel_Euro-3,vt_hbefa4_PC_diesel_Euro_3
122605,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
122606,HBEFA4/PC_petrol_Euro-4,vt_hbefa4_PC_petrol_Euro_4
12266,HBEFA4/PC_diesel_Euro-4,vt_hbefa4_PC_diesel_Euro_4
12267,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
12270,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
122731,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
122746,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
122747,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
122748,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
122799,HBEFA4/PC_petrol_Euro-4,vt_hbefa4_PC_petrol_Euro_4
122819,HBEFA4/PC_petrol_Euro-4,vt_hbefa4_PC_petrol_Euro_4
122820,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
122821,HBEFA4/PC_diesel_Euro-4,vt_hbefa4_PC_diesel_Euro_4
122822,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
122830,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
122835,HBEFA4/PC_petrol_Euro-3,vt_hbefa4_PC_petrol_Euro_3
122836,HBEFA4/PC_petrol_Euro-4,vt_hbefa4_PC_petrol_Euro_4
122838,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
122839,HBEFA4/PC_petrol_Euro-3,vt_hbefa4_PC_petrol_Euro_3
122856,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
122857,HBEFA4/PC_diesel_Euro-3,vt_hbefa4_PC_diesel_Euro_3
122858,HBEFA4/PC_diesel_Euro-3,vt_hbefa4_PC_diesel_Euro_3
122865,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
122866,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
122867,HBEFA4/PC_diesel_Euro-3,vt_hbefa4_PC_diesel_Euro_3
122876,HBEFA4/PC_PHEV_petrol_Euro-6ab_(P),vt_hbefa4_PC_PHEV_petrol_Euro_6ab_P
122877,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
122878,HBEFA4/PC_diesel_Euro-4,vt_hbefa4_PC_diesel_Euro_4
122879,HBEFA4/PC_BEV,vt_hbefa4_PC_BEV
122917,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
122919,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
122942,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
122943,HBEFA4/PC_diesel_Euro-3,vt_hbefa4_PC_diesel_Euro_3
12295,HBEFA4/PC_diesel_Euro-4,vt_hbefa4_PC_diesel_Euro_4
12296,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
122969,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
12297,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
122970,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
123008,HBEFA4/PC_diesel_Euro-4,vt_hbefa4_PC_diesel_Euro_4
123009,HBEFA4/PC_petrol_Euro-3,vt_hbefa4_PC_petrol_Euro_3
123010,HBEFA4/PC_petrol_Euro-4,vt_hbefa4_PC_petrol_Euro_4
123074,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
123088,HBEFA4/PC_diesel_Euro-3,vt_hbefa4_PC_diesel_Euro_3
123089,HBEFA4/PC_diesel_Euro-4,vt_hbefa4_PC_diesel_Euro_4
123090,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
123091,HBEFA4/PC_diesel_Euro-3,vt_hbefa4_PC_diesel_Euro_3
123092,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
123093,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
123094,HBEFA4/PC_diesel_Euro-4,vt_hbefa4_PC_diesel_Euro_4
123095,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
123096,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
